,name,year,genre,country,duration,age_limit,budget,director,rating
134,"Дивергент, глава 2: Инсургент (2015)",2015,триллер,США,119,16 +,110000000,Роберт Швентке,6.2
135,Золушка (2015),2015,драма,США,112,6 +,95000000,Кеннет Брана,6.9
136,Омерзительная восьмерка (2015),2015,драма,США,187,18 +,62000000,Квентин Тарантино,7.8
137,Малефисента (2014),2014,мелодрама,США,97,12 +,180000000,Роберт Стромберг,6.9
138,Великий Гэтсби (2013),2013,драма,США,143,16 +,105000000,Баз Лурман,7.2
139,Волк с Уолл-стрит (2013),2013,драма,США,180,18 +,100000000,Мартин Скорсезе,8.2
140,Гарри Поттер и Принц-полукровка (2009),2009,приключения,США,153,12 +,250000000,Дэвид Йейтс,7.6
141,Законопослушный гражданин (2009),2009,драма,США,109,16 +,50000000,Ф. Гэри Грей,7.4
142,Пираты Карибского моря: На краю света (2007),2007,боевик,США,169,16 +,300000000,Гор Вербински,7.1
143,Пираты Карибского моря: Сундук мертвеца (2006),2006,боевик,США,151,16 +,225000000,Гор Вербински,7.4
144,Гарри Поттер и кубок огня (2005),2005,приключения,США,157,12 +,150000000,Майк Ньюэлл,7.7
145,Властелин колец: Возвращение короля (2003),2003,приключения,США,201,12 +,94000000,Питер Джексон,9.0
146,Властелин колец: Две крепости (2002),2002,боевик,США,179,12 +,94000000,Питер Джексон,8.8
147,"Поймай меня, если сможешь (2002)",2002,драма,США,141,16 +,52000000,Стивен Спилберг,8.1
148,Брат 2 (2000),2000,боевик,Россия,127,16 +,1500000,Алексей Балабанов,7.6
149,Достучаться до небес (1997),1997,драма,Германия,87,18 +,null,Томас Ян,7.8
150,Храброе сердце (1995),1995,драма,США,178,16 +,72000000,Мэл Гибсон,8.3
151,Терминатор 2: Судный день (1991),1991,триллер,США,137,18 +,102000000,Джеймс Кэмерон,8.6
152,Один дома (1990),1990,комедия,США,103,0 +,18000000,Крис Коламбус,7.7
153,Назад в будущее (1985),1985,комедия,США,116,6 +,19000000,Роберт Земекис,8.5
154,Анчартед: На картах не значится (2022),2022,боевик,США,115,12 +,null,Рубен Фляйшер,6.3
155,Последний богатырь: Корень зла (2021),2021,комедия,Россия,121,6 +,null,Дмитрий Дьяченко,5.9
156,Чемпион мира (2021),2021,драма,Россия,145,6 +,null,Алексей Сидоров,6.3
157,Чиновник (2021),2021,комедия,Россия,85,18 +,null,Владимир Моташнев,6.6
158,Дитя погоды (2019),2019,мелодрама,Япония,111,12 +,null,Макото Синкай,7.5
159,Валериан и город тысячи планет (2017),2017,боевик,США,137,18 +,177200000,Люк Бессон,6.4
160,Приключения Паддингтона 2 (2017),2017,комедия,США,103,6 +,null,Пол Кинг,7.8
161,Любовь и страсть. Далида (2016),2016,мелодрама,Франция,124,16 +,null,Лиза Азуэлос,6.9
162,Отмель (2016),2016,драма,США,87,16 +,17000000,Жауме Кольет-Серра,6.3
164,Агенты А.Н.К.Л. (2015),2015,комедия,США,116,12 +,75000000,Гай Ричи,7.2
165,Бруклин (2015),2015,драма,Ирландия,111,16 +,11000000,Джон Краули,7.5
166,Вне/себя (2015),2015,триллер,США,117,16 +,26000000,Тарсем Сингх,6.5
167,Девушка из Дании (2015),2015,драма,США,119,18 +,25000000,Том Хупер,7.1
168,Джой (2015),2015,драма,США,124,16 +,60000000,Дэвид О. Расселл,6.6
169,Призрак (2015),2015,комедия,Россия,114,6 +,null,Александр Войтинский,6.5
170,Бегущий в лабиринте (2014),2014,триллер,США,113,12 +,34000000,Уэс Болл,6.8
171,Люди Икс: Дни минувшего будущего (2014),2014,боевик,США,131,12 +,200000000,Брайан Сингер,7.9
172,Первый мститель: Другая война (2014),2014,боевик,США,136,12 +,170000000,null,7.7
173,Тор 2: Царство тьмы (2013),2013,боевик,США,112,12 +,170000000,Алан Тейлор,6.7
174,Форсаж 6 (2013),2013,драма,США,130,12 +,160000000,Джастин Лин,7.0
175,Джанго освобожденный (2012),2012,драма,США,165,16 +,100000000,Квентин Тарантино,8.5
176,Темный рыцарь: Возрождение легенды (2012),2012,драма,США,165,16 +,250000000,Кристофер Нолан,8.4
177,Исходный код (2011),2011,триллер,США,93,16 +,32000000,Дункан Джонс,7.5
178,Как приручить дракона (2010),2010,комедия,США,98,12 +,165000000,null,8.1
179,Аватар (2009),2009,драма,США,162,12 +,237000000,Джеймс Кэмерон,7.9
180,Я — легенда (2007),2007,драма,США,101,16 +,150000000,Фрэнсис Лоуренс,7.2
181,Дневник памяти (2004),2004,драма,США,123,12 +,29000000,Ник Кассаветис,7.8
182,Властелин колец: Братство кольца (2001),2001,драма,США,178,12 +,93000000,Питер Джексон,8.9
183,Игры разума (2001),2001,драма,США,135,16 +,58000000,Рон Ховард,8.2
184,Изгой (2000),2000,драма,США,143,16 +,90000000,Роберт Земекис,7.8
185,Матрица (1999),1999,боевик,США,136,16 +,63000000,null,8.7
186,"Знакомьтесь, Джо Блэк (1998)",1998,драма,США,178,16 +,90000000,Мартин Брест,7.2
187,Адвокат дьявола (1997),1997,драма,США,144,16 +,57000000,Тейлор Хэкфорд,7.5
188,Люди в черном (1997),1997,комедия,США,98,12 +,90000000,Барри Зонненфельд,7.3
189,Пятый элемент (1997),1997,комедия,Франция,126,16 +,90000000,Люк Бессон,7.6
190,Список Шиндлера (1993),1993,драма,США,195,16 +,22000000,Стивен Спилберг,9.0
191,Молчание ягнят (1990),1990,триллер,США,114,18 +,19000000,Джонатан Демме,8.6
192,Назад в будущее 3 (1990),1990,комедия,США,118,12 +,40000000,Роберт Земекис,7.5
193,Назад в будущее 2 (1989),1989,комедия,США,108,12 +,40000000,Роберт Земекис,7.8
194,Человек дождя (1988),1988,драма,США,133,16 +,25000000,Барри Левинсон,8.0
195,Крестный отец (1972),1972,драма,США,175,18 +,6000000,Френсис Форд Коппола,9.2
196,"Артур, ты король (2024)",2024,драма,США,90,12 +,null,Саймон Селлан Джоунс,7.0
197,Джон Уик 4 (2023),2023,триллер,США,169,18 +,null,Чад Стахелски,7.6
198,Король Ричард (2021),2021,драма,США,138,12 +,null,Рейнальдо Маркус Грин,7.5
199,Турист (2021),2021,боевик,Россия,null,18 +,null,Андрей Батов,5.4
200,Балканский рубеж (2019),2019,драма,Россия,151,16 +,null,Андрей Волгин,6.6
201,Паразиты (2019),2019,драма,Южная Корея,131,18 +,13200000,Пон Джун-хо,8.5
202,Холоп (2019),2019,комедия,Россия,108,12 +,null,Клим Шипенко,6.6
203,Шерлок: Безобразная невеста (2016),2016,драма,Великобритания,90,16 +,null,Дуглас Маккиннон,8.0
205,Дом (2015),2015,мультфильмы,США,93,6 +,135000000,Тим Джонсон,6.5
206,Последний охотник на ведьм (2015),2015,боевик,США,106,18 +,90000000,Брек Эйснер,5.9
207,Дивергент (2014),2014,мелодрама,США,143,12 +,85000000,Нил Бергер,6.6
208,Как приручить дракона 2 (2014),2014,комедия,США,102,0 +,145000000,Дин ДеБлуа,7.8
209,Судья (2014),2014,драма,США,142,16 +,50000000,Дэвид Добкин,7.4
210,Холодное сердце (2013),2013,комедия,США,102,0 +,150000000,null,7.4
211,Жизнь Пи (2012),2012,драма,США,127,6 +,120000000,Энг Ли,7.9
212,Невозможное (2012),2012,драма,США,109,18 +,null,Хуан Антонио Байона,7.5
213,Тор (2011),2011,боевик,США,115,16 +,150000000,Кеннет Брана,7.0
214,Форсаж 5 (2011),2011,триллер,США,130,16 +,125000000,Джастин Лин,7.3
215,Рапунцель: Запутанная история (2010),2010,мелодрама,США,100,12 +,260000000,null,7.7
216,Три метра над уровнем неба (2010),2010,драма,Испания,123,18 +,null,Фернандо Гонзалез Молина,6.7
217,Шерлок Холмс (2009),2009,комедия,США,128,12 +,90000000,Гай Ричи,7.5
218,Железный человек (2008),2008,боевик,США,121,16 +,140000000,Джон Фавро,7.9
219,Загадочная история Бенджамина Баттона (2008),2008,драма,США,166,16 +,150000000,Дэвид Финчер,7.8
220,Белый плен (2006),2006,драма,США,120,12 +,40000000,Фрэнк Маршалл,7.3
221,В погоне за счастьем (2006),2006,драма,США,117,16 +,55000000,Габриэле Муччино,8.0
222,Остров (2006),2006,драма,Россия,112,12 +,1500000,Павел Лунгин,7.8
223,Отступники (2006),2006,драма,США,151,18 +,90000000,Мартин Скорсезе,8.5
224,Престиж (2006),2006,драма,США,130,16 +,40000000,Кристофер Нолан,8.5
226,Одиннадцать друзей Оушена (2001),2001,триллер,США,116,16 +,85000000,Стивен Содерберг,7.7
227,Бойцовский клуб (1999),1999,драма,США,139,18 +,63000000,Дэвид Финчер,8.8
228,Шестое чувство (1999),1999,драма,США,107,12 +,40000000,М. Найт Шьямалан,8.2
229,"Карты, деньги, два ствола (1998)",1998,комедия,Великобритания,107,16 +,null,Гай Ричи,8.1
230,Игра (1997),1997,драма,США,129,16 +,50000000,Дэвид Финчер,7.7
231,Семь (1995),1995,триллер,США,127,18 +,33000000,Дэвид Финчер,8.6
232,Криминальное чтиво (1994),1994,комедия,США,154,18 +,8000000,Квентин Тарантино,8.8
233,Телохранитель (1992),1992,драма,США,129,16 +,null,Мик Джексон,6.4
234,Крепкий орешек (1988),1988,триллер,США,133,16 +,28000000,Джон МакТирнан,8.2
235,Однажды в Америке (1984),1984,драма,США,229,16 +,30000000,Серджио Леоне,8.3
236,Терминатор (1984),1984,триллер,США,107,16 +,6400000,Джеймс Кэмерон,8.1
237,Пролетая над гнездом кукушки (1975),1975,драма,США,135,18 +,4400000,Милош Форман,8.7
238,Крестный отец 2 (1974),1974,драма,США,200,16 +,13000000,Френсис Форд Коппола,9.0
239,По щучьему велению (2023),2023,приключения,Россия,115,6 +,null,Александр Войтинский,6.2
240,Праведник (2023),2023,драма,Россия,140,12 +,null,Сергей Урсуляк,6.7
241,Главный герой (2021),2021,комедия,США,115,16 +,null,Шон Леви,7.1
242,Отряд самоубийц: Миссия навылет (2021),2021,комедия,США,132,18 +,null,Джеймс Ганн,7.2
243,Малефисента: Владычица тьмы (2019),2019,приключения,США,118,6 +,null,Хоаким Роннинг,6.6
244,Так близко к горизонту (2019),2019,драма,Германия,109,16 +,null,Тим Трахте,6.6
245,Человек-паук: Вдали от дома (2019),2019,комедия,США,129,16 +,null,Джон Уоттс,7.4
246,Лед (2018),2018,драма,Россия,113,12 +,null,Олег Трофим,6.8
247,Человек-муравей и Оса (2018),2018,боевик,США,118,12 +,null,Пейтон Рид,7.0
248,Красавица и чудовище (2017),2017,мелодрама,США,129,18 +,160000000,Билл Кондон,7.1
249,Лига справедливости (2017),2017,боевик,США,110,16 +,300000000,null,6.0
250,Меч короля Артура (2017),2017,драма,США,126,16 +,175000000,Гай Ричи,6.7
251,Убийство в Восточном экспрессе (2017),2017,драма,США,114,16 +,null,Кеннет Брана,6.5
252,Форсаж 8 (2017),2017,триллер,США,136,12 +,250000000,Ф. Гэри Грей,6.6
253,Коллектор (2016),2016,драма,Россия,74,16 +,null,Алексей Красовский,6.7
254,Батальонъ (2015),2015,драма,Россия,120,12 +,10000000,Дмитрий Месхиев,6.4
255,Восхождение Юпитер (2015),2015,боевик,США,127,12 +,176000000,null,5.3
256,Заложница 3 (2015),2015,триллер,Франция,109,16 +,48000000,Оливье Мегатон,6.0
257,Миссия невыполнима: Племя изгоев (2015),2015,триллер,США,131,16 +,150000000,Кристофер Маккуорри,7.4
258,Терминатор: Генезис (2015),2015,триллер,США,125,12 +,155000000,Алан Тейлор,6.3
259,Исчезнувшая (2014),2014,драма,США,149,16 +,61000000,Дэвид Финчер,8.1
260,Обитель проклятых (2014),2014,триллер,США,112,18 +,null,Брэд Андерсон,6.8
261,Гадкий я 2 (2013),2013,комедия,США,98,0 +,76000000,null,7.3
262,Лекарь: Ученик Авиценны (2013),2013,драма,Германия,150,16 +,null,Филипп Штёльцль,7.2
263,Мы — Миллеры (2013),2013,комедия,США,110,16 +,37000000,Роусон Маршалл Тербер,7.0
264,Риддик (2013),2013,триллер,США,119,16 +,38000000,Дэвид Туи,6.4
265,Тревожный вызов (2013),2013,триллер,США,95,16 +,13000000,Брэд Андерсон,6.7
266,Один день (2011),2011,драма,США,103,18 +,15000000,Лоне Шерфиг,7.0
267,Король говорит! (2010),2010,драма,Великобритания,118,16 +,15000000,Том Хупер,8.0
268,Мальчик в полосатой пижаме (2008),2008,драма,США,94,16 +,12500000,Марк Херман,7.7
269,Семь жизней (2008),2008,драма,США,123,16 +,55000000,Габриэле Муччино,7.6
270,Иллюзионист (2006),2006,драма,США,110,18 +,16500000,Нил Бергер,7.5
271,Послезавтра (2004),2004,драма,США,124,12 +,125000000,Роланд Эммерих,6.5
272,Троя (2004),2004,драма,США,163,16 +,175000000,Вольфганг Петерсен,7.3
273,Эффект бабочки (2004),2004,триллер,США,113,16 +,13000000,null,7.6
274,Пианист (2002),2002,драма,Германия,150,18 +,35000000,Роман Полански,8.5
275,Спеши любить (2002),2002,драма,США,101,16 +,11800000,Адам Шенкман,7.3
276,Большой куш (2000),2000,комедия,США,102,16 +,10000000,Гай Ричи,8.2
277,Король Лев (1994),1994,драма,США,89,0 +,45000000,null,8.5
278,День сурка (1993),1993,мелодрама,США,101,12 +,14600000,Харольд Рэмис,8.0
279,Запах женщины (1992),1992,драма,США,157,16 +,31000000,Мартин Брест,8.0
280,Один дома 2: Затерянный в Нью-Йорке (1992),1992,комедия,США,119,0 +,1800000,Крис Коламбус,6.9
281,Красотка (1990),1990,мелодрама,США,119,16 +,14000000,Гэрри Маршалл,7.1
282,Профессионал (1981),1981,драма,Франция,108,16 +,null,Жорж Лотнер,7.4
283,Чужой (1979),1979,ужасы,США,116,16 +,11000000,Ридли Скотт,8.5
284,Вышка (2022),2022,триллер,США,107,16 +,null,Скотт Манн,6.4
285,Белый снег (2021),2021,драма,Россия,127,6 +,null,Николай Хомерики,5.8
286,Ледяной драйв (2021),2021,драма,США,108,18 +,null,Джонатан Хенсли,5.6
287,Отец (2020),2020,драма,Великобритания,97,16 +,null,Флориан Зеллер,8.2
288,Алита: Боевой ангел (2019),2019,мелодрама,США,122,16 +,200000000,Роберт Родригес,7.3
289,Однажды... в Голливуде (2019),2019,драма,США,161,16 +,100000000,Квентин Тарантино,7.6
290,Чудо-женщина (2017),2017,боевик,США,141,16 +,149000000,Пэтти Дженкинс,7.3
291,Боги Египта (2016),2016,боевик,США,127,16 +,140000000,Алекс Пройас,5.4
292,Кунг-фу Панда 3 (2016),2016,комедия,США,95,6 +,145000000,null,7.1
294,Прибытие (2016),2016,драма,США,116,18 +,47000000,Дени Вильнев,7.9
295,Тайная жизнь домашних животных (2016),2016,комедия,США,87,6 +,75000000,null,6.5
296,Бегущий в лабиринте: Испытания огнем (2015),2015,триллер,США,131,16 +,61000000,Уэс Болл,6.3
297,Духless 2 (2015),2015,драма,Россия,107,16 +,null,Роман Прыгунов,6.1
298,Миньоны (2015),2015,комедия,США,91,6 +,74000000,null,6.4
299,Разлом Сан-Андреас (2015),2015,драма,США,107,12 +,110000000,Брэд Пейтон,6.1
300,Воздушный маршал (2014),2014,триллер,США,106,12 +,50000000,Жауме Кольет-Серра,6.9
301,Город героев (2014),2014,комедия,США,105,6 +,165000000,null,7.8
302,Дракула (2014),2014,драма,США,100,12 +,70000000,Гари Шор,6.2
303,Другая женщина (2014),2014,мелодрама,США,109,16 +,40000000,Ник Кассаветис,6.0
304,Игра в имитацию (2014),2014,драма,США,114,18 +,14000000,Мортен Тильдум,8.0
305,Люси (2014),2014,боевик,Франция,89,18 +,40000000,Люк Бессон,6.4
306,12 лет рабства (2013),2013,драма,США,133,16 +,20000000,Стив Маккуин,8.1
307,Голодные игры: И вспыхнет пламя (2013),2013,триллер,США,146,12 +,140000000,Фрэнсис Лоуренс,7.5
308,Заклятие (2013),2013,триллер,США,112,16 +,20000000,Джеймс Ван,7.5
